cancer_type,trial_id,rule,rule_section,overall_frequency,n_trials,enrollment_mean,enrollment_std,site_mean,site_std,recruitment_months_mean,recruitment_months_std,epsm_mean,epsm_std,start_date_mean,start_date_std_yrs,Overall,White,Asian,African-American,Female,Male,18-50,50-65,>65,cluster_id,cluster_center_rule
breast_cancer,NCT03425656,gender: female,inclusion,0.14553314121037464,101,1654.010752688172,2827.6456733881896,65.37623762376238,117.31094164528291,75.13024657957796,44.731625171352945,4.671705156206353,18.405457718658823,2004-03-29,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,gender: female
breast_cancer,NCT03425656,min age (years): 18.0,inclusion,0.0994236311239193,69,638.4782608695652,971.3884030950334,44.26086956521739,85.43378106048895,57.01306215309784,38.50660658073154,3.8106788321449074,7.1041249073833646,2009-03-29,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769,min age (years): 81.0
breast_cancer,NCT03425656,max age (years): 70.0,inclusion,0.1786743515850144,124,1543.495575221239,2597.063111628945,55.46774193548387,112.15809366847982,75.05843778429191,42.08464453592445,5.500208993187454,19.140869415291498,2004-02-09,6.3,51.181830186187774,53.87596899224806,28.054298642533936,41.206896551724135,51.181830186187774,0.0,0.0,0.0,75.45259879306988,1769,min age (years): 81.0
breast_cancer,NCT03425656,the patient has a newly diagnosed stage iii (locally advanced) breast tumor or an inoperable stage ii breast tumor due to size larger than 5 cm or a high tumor to breast ratio: descriptive,inclusion,0.3285302593659942,228,828.4343891402715,1594.7799595992183,83.48245614035088,139.3787811138331,58.7669311634489,45.06874448821195,2.4880068121504606,6.165811431325462,2008-01-14,7.34,0.026409613099168,0.0322997416020671,0.0,0.0,0.026409613099168,0.0,0.0,0.0,0.0389332295113879,2,the patient has a newly diagnosed stage iii (locally advanced) breast tumor or an inoperable stage ii breast tumor due to size larger than 5 cm or a high tumor to breast ratio: descriptive
breast_cancer,NCT03425656,the patient is willing and able to sign an informed consent: descriptive,inclusion,0.29250720461095103,203,678.0148514851485,1073.953483329446,31.635467980295566,91.42781128512713,58.33594329795129,45.89826184394107,4.754039142981101,9.000963122503103,2009-01-25,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800,"the patient provides written, informed consent to participate in the study and follow the study procedures: descriptive"
breast_cancer,NCT03425656,adenocarcinoma of the breast: present,inclusion,0.10951008645533142,76,1239.7945205479452,1647.76819566231,100.88157894736842,135.83499471591878,73.97710294673556,48.91176910039561,1.3131852793666299,3.9793834707994633,2006-05-31,6.77,97.99286940446322,98.1750645994832,98.6425339366516,96.89655172413794,97.99286940446322,0.0,96.91358024691358,95.74358974358974,98.94880280319252,3,adenocarcinoma of the breast: present
breast_cancer,NCT03425656,the patient has an ecog performance status of 0 or 1: descriptive,inclusion,0.2622478386167147,182,743.2707182320441,932.2548225041578,114.53296703296704,186.17450529270204,47.950840851038706,28.43003538824195,3.406247576932638,7.784267507848495,2011-09-28,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786,"the patient has an eastern cooperative oncology group (ecog) performance status of 0, 1, or 2: descriptive"
breast_cancer,NCT03425656,the patient may have any estrogen receptor (er) or progesterone receptor (pr) status: descriptive,inclusion,0.2334293948126801,162,1541.4117647058824,2371.1862191555756,114.24691358024691,181.40654941467542,70.96753443665402,42.90040700928671,2.090744646617096,7.633941423627978,2006-02-04,6.13,0.0396144196487521,0.0322997416020671,0.4524886877828054,0.0,0.0396144196487521,0.0,0.0,0.0,0.0583998442670819,1819,the patient is a woman with histologically confirmed estrogen receptor positive and or progesterone receptor positive invasive carcinoma of the breast: descriptive
breast_cancer,NCT03425656,"the patient is her2 positive, defined as immunohistochemical (ihc) 3+ intensity, amplification of the her2 gene on fluorescence in situ hybridization (fish+), or her2 positive results on chromogenic in situ hybridization (cish): descriptive",inclusion,0.09510086455331412,66,869.723076923077,1059.6694134801592,102.83333333333333,185.76366982174162,58.81703761498028,37.85949466017046,3.434516631875979,9.868434977275594,2011-09-10,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811,"the patient has her2-positive disease, defined as immunohistochemistry (ihc) 3+ or in situ hybridization (ish) positive, as determined in a local laboratory experienced or certified in her2-expression testing using an accurate and validated assay: descriptive"
breast_cancer,NCT03425656,the patient has clinical or radiologic evidence of metastatic disease: descriptive,exclusion,0.2334293948126801,162,889.0,1324.8949964402298,96.8395061728395,170.1603158434815,63.92282558511204,47.62335809550469,2.043015032093959,6.45576380116661,2007-09-15,6.48,8.015317575597518,8.220284237726098,4.524886877828054,7.586206896551724,8.015317575597518,0.0,8.024691358024691,6.974358974358975,8.409577574459801,4,the patient has clinical or radiologic evidence of metastatic disease: descriptive
